Word,Alpha,Rank,AnagramCount
AAH,AAH,3,1
AAHED,AADEH,3,1
AAHING,AAGHIN,3,0
AAHS,AAHS,3,0
AARDVARK,AAADKRRV,3,0
AARDVARKS,AAADKRRSV,3,0
AARGH,AAGHR,3,0
ABACK,AABCK,2,0
ABACUS,AABCSU,3,0
ABALONE,AABELNO,2,0
ABANDON,AABDNNO,2,0
ABANDONED,AABDDENNO,1,0
ABANDONING,AABDGINNNO,2,0
ABANDONMENT,AABDEMNNNOT,2,0
ABANDONS,AABDNNOS,2,0
ABASEMENT,AABEEMNST,3,0
ABASHED,AABDEHS,3,0
ABATE,AABET,2,0
ABATED,AABDET,3,0
ABATEMENT,AABEEMNTT,2,0
ABATEMENTS,AABEEMNSTT,3,0
ABATES,AABEST,3,0
ABATING,AABGINT,3,0
ABATIS,AABIST,3,0
ABATTOIRS,AABIORSTT,3,0
ABAYA,AAABY,3,0
ABAYAS,AAABSY,3,0
ABBE,ABBE,3,1
ABBESS,ABBESS,3,0
ABBEY,ABBEY,2,0
ABBEYS,ABBESY,3,0
ABBOT,ABBOT,2,0
ABBOTS,ABBOST,3,0
ABBREVIATE,AABBEEIRTV,3,0
ABBREVIATED,AABBDEEIRTV,3,0
ABBREVIATION,AABBEIINORTV,3,0
ABBREVIATIONS,AABBEIINORSTV,2,0
ABDICATE,AABCDEIT,3,0
ABDICATED,AABCDDEIT,3,0
ABDICATES,AABCDEIST,3,0
ABDICATING,AABCDGIINT,3,0
ABDICATION,AABCDIINOT,2,0
ABDOMEN,ABDEMNO,2,0
ABDOMENS,ABDEMNOS,3,0
ABDOMINAL,AABDILMNO,2,0
ABDOMINALS,AABDILMNOS,2,0
ABDUCT,ABCDTU,3,0
ABDUCTED,ABCDDETU,3,0
ABDUCTEE,ABCDEETU,3,0
ABDUCTEES,ABCDEESTU,3,0
ABDUCTING,ABCDGINTU,3,0
ABDUCTION,ABCDINOTU,2,0
ABDUCTIONS,ABCDINOSTU,2,0
ABDUCTOR,ABCDORTU,3,0
ABDUCTORS,ABCDORSTU,3,0
